"4752490",2011,20120810,0109,20110324,1915,"8120","","4","5","7","0109","0","0","0","","0","03Y","12TH ST","BRUSH ST","0","","Y","C","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","12",21453,"A","N","D","C","A","B","H","-","C","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"4752494",2011,20120421,0109,20110324,1501,"8005","3","4","5","7","0109","0","0","0","","0","34X","BANCROFT AV","98TH AV","0","","Y","C","-","N","",,,"","",,"","","","N","4",0,1,2,"A","-","11",21453,"D","N","G","B","B","B","H","-","D","A","0","Y","","","","Y","","N","60",0,0,1,0,1,0,0,0,0,"-","-",,
"4752502",2011,20120810,0109,20110325,0800,"8558","1","5","5","7","0109","0","0","0","","0","04X","WEST GRAND AV","MARTIN LUTHER KING JR WY","0","","Y","B","C","N","",,,"","",,"","","","N","0",0,0,2,"A","-","12",21453,"A","N","D","C","A","B","H","-","A","A","0","","","","","Y","","A","08",0,0,0,0,0,0,0,0,0,"-","-",,
"4752508",2011,20120806,0109,20110308,1521,"8221","2","2","5","7","0109","0","0","0","","0","19X","2ND AV","INTERNATIONAL BL","90","N","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","21",22106,"","N","B","C","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"4752535",2011,20120806,0109,20110310,2243,"8626","3","4","5","7","0109","0","0","0","","0","30X","69TH AV","MORKEN ST","579","N","N","B","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","08",22107,"","M","B","C","A","A","H","-","B","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"4752539",2011,20120420,0109,20110318,1749,"8380","1","5","5","7","0109","0","0","0","","0","05X","WEST GRAND AV","7TH ST","0","","Y","B","-","N","",,,"","",,"","","","N","4",0,2,2,"A","-","- ",,"","M","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,2,0,0,0,0,0,0,"-","-",,
"4752543",2011,20120806,0109,20110325,2003,"8221","2","5","5","7","0109","0","0","0","","0","18X","E 25TH ST","19TH AV","150","W","N","C","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","21",22106,"","M","H","C","A","B","H","-","C","D","0","","","","","Y","","A","08",0,0,0,0,0,0,0,0,0,"-","-",,
"4752547",2011,20120806,0109,20110329,2032,"8660","1","2","5","7","0109","0","0","0","","0","08X","SUMMIT ST","HAWTHORNE AV","100","S","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","21",22106,"","M","C","E","A","A","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"4752551",2011,20120806,0109,20110323,1701,"8517","3","3","5","7","0109","0","0","0","","0","35X","GOLF LINKS RD","SCOTIA AV","100","S","N","C","-","N","",,,"","",,"","","","Y","0",0,0,1,"A","-","03",22350,"","N","E","I","A","B","H","-","A","D","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"4752555",2011,20120806,0109,20110324,0814,"8257","3","4","5","7","0109","0","0","0","","0","29X","SEMINARY AV","OUTLOOK AV","100","N","N","C","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","03",22350,"","N","C","C","A","B","H","-","A","A","0","","","","","Y","","-","- ",0,0,0,0,0,0,0,0,0,"-","-",,
"4752559",2011,20120420,0109,20110324,1030,"7491","1","4","5","7","0109","0","0","0","","0","03X","12TH ST","FRANKLIN ST","6","W","N","C","-","N","",,,"","",,"","","","N","3",0,1,2,"A","-","10",21950,"A","N","G","B","B","B","H","-","A","A","0","Y","","","","Y","","A","01",0,1,0,0,1,0,0,0,0,"-","-",,
"4753028",2011,20121018,0109,20110525,1200,"8106","2","3","5","7","0109","0","0","0","","0","19X","KENNEDY ST","DENNISON ST","15","S","N","C","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","03",22350,"","N","C","C","A","B","H","-","A","A","0","","","","","Y","","D","22",0,0,0,0,0,0,0,0,0,"-","-",,
"4753032",2011,20121018,0109,20110520,2100,"8347","2","5","5","7","0109","0","0","0","","0","14X","GRAND AV","MACARTHUR BL","0","","Y","A","-","N","",,,"","",,"","","","N","0",0,0,1,"A","-","08",22107,"","M","A","I","A","A","H","-","C","A","0","","","","","Y","","D","22",0,0,0,0,0,0,0,0,0,"-","-",,
"4753036",2011,20121018,0109,20110524,1915,"8717","3","2","5","7","0109","0","0","0","","0","32X","98TH AV","STEARNS AV","100","S","N","A","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","03",22350,"","M","F","E","A","A","H","-","A","A","0","","","","","Y","","D","23",0,0,0,0,0,0,0,0,0,"-","-",,
"4753040",2011,20121018,0109,20110523,2140,"8658","2","1","5","7","0109","0","0","0","","0","20X","INTERNATIONAL BL","29TH AV","15","E","N","A","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","08",22107,"","M","B","C","A","A","H","-","C","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
"4753041",2011,20121018,0109,20110521,0142,"8396","3","6","5","7","0109","0","0","0","","0","26X","50TH AV","INTERNATIONAL","150","S","N","B","-","N","",,,"","",,"","","","N","0",0,0,2,"A","-","08",22107,"","M","C","I","A","A","H","-","C","D","0","","","","","Y","","-","99",0,0,0,0,0,0,0,0,0,"-","-",,
"4753281",2011,20120626,0109,20110210,1430,"7550","3","4","5","7","0109","0","0","0","","0","33 X","INTERNATIONAL BL","85TH AV","0","","Y","A","-","N","",,,"","",,"","","","Y","0",0,0,2,"A","-","09",21801,"A","N","D","C","A","A","H","-","A","A","0","","","","","Y","","A","01",0,0,0,0,0,0,0,0,0,"-","-",,
